Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:46415000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;datains;dataalt;respalt;tecnico;medidorvazao
46415000;2;12/02/1977;01/01/1900 07:00:00;1;60;35,1;40,12;34,40;0,875;1,17;;;;;;
46415000;2;14/03/1977;01/01/1900 07:00:00;2;32;22,7;29,93;31,90;0,758;0,94;;;;;;
46415000;2;19/04/1977;01/01/1900 07:00:00;3;29;22,5;29,74;30,70;0,757;0,97;;;;;;
46415000;2;17/05/1977;01/01/1900 07:00:00;4;40;27,7;33,53;32,50;0,826;1,03;;;;;;
46415000;2;14/06/1977;01/01/1900 07:00:00;5;33;25,3;32,07;31,40;0,789;1,02;;;;;;
46415000;2;20/07/1977;01/01/1900 07:00:00;6;27;23,2;32,1;31,00;0,723;1,04;;;;;;
46415000;2;18/11/1977;01/01/1900 07:00:00;8;31;23,2;32,85;33,00;0,706;1,00;;;;;;
46415000;2;17/01/1978;01/01/1900 07:00:00;9;77;43,7;47,61;38,20;0,918;1,25;;;;;;
46415000;2;20/04/1978;01/01/1900 07:00:00;10;69;39,8;41,05;36,10;0,970;1,14;;;;;;
46415000;2;19/07/1978;01/01/1900 07:00:00;11;41;28,8;33,95;32,30;0,848;1,05;;;;;;
46415000;2;25/10/1978;01/01/1900 07:00:00;12;46;28,1;34,41;32,60;0,817;1,06;;;;;;
46415000;2;27/01/1979;01/01/1900 07:00:00;13;86;49,1;49,42;39,00;0,994;1,27;;;;;;
46415000;2;19/04/1979;01/01/1900 07:00:00;14;65;35,4;36,77;34,00;0,963;1,08;;;;;;
46415000;2;23/05/1979;01/01/1900 07:00:00;15;53;31,8;36,63;32,00;0,868;1,14;;;;;;
46415000;2;24/07/1979;01/01/1900 07:00:00;16;47;29,3;34,72;31,80;0,844;1,09;;;;;;
46415000;2;21/09/1979;01/01/1900 07:00:00;17;46;29;34,07;31,90;0,851;1,07;;;;;;
46415000;2;24/11/1979;01/01/1900 07:00:00;18;85;49,6;48,21;39,30;1,029;1,23;;;;;;
46415000;2;19/04/1980;01/01/1900 07:00:00;19;78;45,8;46,32;36,00;0,989;1,29;;;;;;
46415000;2;23/07/1980;01/01/1900 07:00:00;20;50;30,6;34,84;32,40;0,878;1,08;;;;;;
46415000;2;15/10/1980;01/01/1900 07:00:00;21;55;36,3;39,98;33,00;0,908;1,21;;;;;;
46415000;2;22/01/1981;01/01/1900 07:00:00;22;84;50,8;50,91;39,30;0,998;1,30;;;;;;
46415000;2;25/03/1981;01/01/1900 07:00:00;23;97;59,7;53,17;40,70;1,123;1,31;;;;;;
46415000;2;18/06/1981;01/01/1900 07:00:00;24;63;40,3;41,6;35,20;0,969;1,18;;;;;;
46415000;2;17/10/1981;01/01/1900 07:00:00;25;52;34,1;38,42;34,30;0,888;1,12;;;;;;
46415000;2;11/02/1982;01/01/1900 07:00:00;26;88;51,8;52,03;39,00;0,996;1,33;;;;;;
46415000;2;17/04/1982;01/01/1900 07:00:00;27;78;44,4;45,63;38,00;0,973;1,20;;;;;;
46415000;2;12/06/1982;01/01/1900 07:00:00;28;64;36,9;42,57;35,60;0,867;1,20;;;;;;
46415000;2;08/11/1982;01/01/1900 07:00:00;29;60;33,6;39,61;33,50;0,848;1,18;;;;;;
46415000;2;17/01/1983;01/01/1900 07:00:00;30;82;47,2;49,27;39,00;0,958;1,26;;;;;;
46415000;2;15/04/1983;01/01/1900 07:00:00;31;70;44;44,03;36,00;0,999;1,22;;;;;;
46415000;2;14/07/1983;01/01/1900 07:00:00;32;41;30,5;36,23;33,00;0,842;1,10;;;;;;
46415000;2;19/10/1983;01/01/1900 07:00:00;33;45;31,5;36,38;33,50;0,866;1,08;;;;;;
46415000;2;11/01/1984;01/01/1900 07:00:00;34;59;38,1;39,93;35,00;0,954;1,14;;;;;;
46415000;2;05/04/1984;01/01/1900 07:00:00;35;74;46,3;46,67;40,00;0,992;1,17;;;;;;
46415000;2;05/04/1984;01/01/1900 07:00:00;36;74;45,2;47,02;40,00;0,961;1,18;;;;;;
46415000;2;11/07/1984;01/01/1900 07:00:00;37;34;24,8;29,85;34,00;0,831;0,88;;;;;;
46415000;2;16/10/1984;01/01/1900 07:00:00;38;31;25;33,12;33,20;0,755;1,00;;;;;;
46415000;2;12/01/1985;01/01/1900 07:00:00;39;70;42,9;45,24;37,00;0,948;1,22;;;;;;
46415000;2;09/04/1985;01/01/1900 07:00:00;40;58;38,2;40,83;36,60;0,935;1,11;;;;;;
46415000;2;09/07/1985;01/01/1900 07:00:00;41;34;27,8;33,44;33,00;0,831;1,01;;;;;;
46415000;2;17/10/1985;01/01/1900 07:00:00;42;37;27,7;35,25;34,10;0,786;1,03;;;;;;
46415000;2;14/01/1986;01/01/1900 07:00:00;43;86;57,7;51,13;40,00;1,128;1,28;;;;;;
46415000;2;14/01/1986;01/01/1900 07:00:00;44;86;58,9;52,09;40,00;1,131;1,30;;;;;;
46415000;2;19/04/1986;01/01/1900 07:00:00;45;46;32,7;35,97;39,50;0,909;1,04;;;;;;
46415000;2;15/07/1986;01/01/1900 07:00:00;46;37;28,2;33,48;34,00;0,844;0,98;;;;;;
46415000;2;14/10/1986;01/01/1900 07:00:00;47;100;28,7;58,27;43,00;0,492;1,36;;;;;;
46415000;2;14/01/1987;01/01/1900 07:00:00;48;102;34,7;59,45;44,00;0,583;1,35;;;;;;
46415000;2;14/01/1987;01/01/1900 07:00:00;49;102;34,6;59,45;44,00;0,582;1,35;;;;;;
46415000;2;12/04/1987;01/01/1900 07:00:00;50;103;36;57,39;44,00;0,635;1,30;;;;;;
46415000;1;12/08/2000;01/01/1900 07:00:00;106;70;20,9;46,2;39,00;0,451;1,19;;;;;;
46415000;1;11/12/2000;01/01/1900 10:10:00;107;90;35,411;52,28;40,60;0,677;1,29;;;;;;
46415000;1;12/02/1977;01/01/1900 07:00:00;1;60;35,1;40,12;34,40;0,875;1,17;;;;;;
46415000;1;14/03/1977;01/01/1900 07:00:00;2;32;22,7;29,93;31,90;0,758;0,94;;;;;;
46415000;1;19/04/1977;01/01/1900 07:00:00;3;29;22,5;29,74;30,70;0,757;0,97;;;;;;
46415000;1;17/05/1977;01/01/1900 07:00:00;4;40;27,7;33,53;32,50;0,826;1,03;;;;;;
46415000;1;14/06/1977;01/01/1900 07:00:00;5;33;25,3;32,07;31,40;0,789;1,02;;;;;;
46415000;1;20/07/1977;01/01/1900 07:00:00;6;27;23,2;32,1;31,00;0,723;1,04;;;;;;
46415000;1;21/09/1977;01/01/1900 07:00:00;7;24;16,2;24,24;28,80;0,668;0,84;;;;;;
46415000;1;18/11/1977;01/01/1900 07:00:00;8;31;23,2;32,85;33,00;0,706;1,00;;;;;;
46415000;1;17/01/1978;01/01/1900 07:00:00;9;77;43,7;47,61;38,20;0,918;1,25;;;;;;
46415000;1;20/04/1978;01/01/1900 07:00:00;10;69;39,8;41,05;36,10;0,970;1,14;;;;;;
46415000;1;19/07/1978;01/01/1900 07:00:00;11;41;28,8;33,95;32,30;0,848;1,05;;;;;;
46415000;1;25/10/1978;01/01/1900 07:00:00;12;46;28,1;34,41;32,60;0,817;1,06;;;;;;
46415000;1;27/01/1979;01/01/1900 07:00:00;13;86;49,1;49,42;39,00;0,994;1,27;;;;;;
46415000;1;19/04/1979;01/01/1900 07:00:00;14;65;35,4;36,77;34,00;0,963;1,08;;;;;;
46415000;1;23/05/1979;01/01/1900 07:00:00;15;53;31,8;36,63;32,00;0,868;1,14;;;;;;
46415000;1;24/07/1979;01/01/1900 07:00:00;16;47;29,3;34,72;31,80;0,844;1,09;;;;;;
46415000;1;21/09/1979;01/01/1900 07:00:00;17;46;29;34,07;31,90;0,851;1,07;;;;;;
46415000;1;24/11/1979;01/01/1900 07:00:00;18;85;49,6;48,21;39,30;1,029;1,23;;;;;;
46415000;1;19/04/1980;01/01/1900 07:00:00;19;78;45,8;46,32;36,00;0,989;1,29;;;;;;
46415000;1;23/07/1980;01/01/1900 07:00:00;20;50;30,6;34,84;32,40;0,878;1,08;;;;;;
46415000;1;15/10/1980;01/01/1900 07:00:00;21;55;36,3;39,98;33,00;0,908;1,21;;;;;;
46415000;1;22/01/1981;01/01/1900 07:00:00;22;84;50,8;50,91;39,30;0,998;1,30;;;;;;
46415000;1;25/03/1981;01/01/1900 07:00:00;23;97;59,7;53,17;40,70;1,123;1,31;;;;;;
46415000;1;18/06/1981;01/01/1900 07:00:00;24;63;40,3;41,6;35,20;0,969;1,18;;;;;;
46415000;1;17/10/1981;01/01/1900 07:00:00;25;52;34,1;38,42;34,30;0,888;1,12;;;;;;
46415000;1;11/02/1982;01/01/1900 07:00:00;26;88;51,8;52,03;39,00;0,996;1,33;;;;;;
46415000;1;17/04/1982;01/01/1900 07:00:00;27;78;44,4;45,63;38,00;0,973;1,20;;;;;;
46415000;1;12/06/1982;01/01/1900 07:00:00;28;64;36,9;42,57;35,60;0,867;1,20;;;;;;
46415000;1;08/11/1982;01/01/1900 07:00:00;29;60;33,6;39,61;33,50;0,848;1,18;;;;;;
46415000;1;17/01/1983;01/01/1900 07:00:00;30;82;47,2;49,27;39,00;0,958;1,26;;;;;;
46415000;1;15/04/1983;01/01/1900 07:00:00;31;70;44;44,03;36,00;0,999;1,22;;;;;;
46415000;1;14/07/1983;01/01/1900 07:00:00;32;41;30,5;36,23;33,00;0,842;1,10;;;;;;
46415000;1;19/10/1983;01/01/1900 07:00:00;33;45;31,5;36,38;33,50;0,866;1,08;;;;;;
46415000;1;11/01/1984;01/01/1900 07:00:00;34;59;38,1;39,93;35,00;0,954;1,14;;;;;;
46415000;1;05/04/1984;01/01/1900 07:00:00;35;74;46,3;46,67;40,00;0,992;1,17;;;;;;
46415000;1;11/07/1984;01/01/1900 07:00:00;37;34;24,8;29,85;34,00;0,831;0,88;;;;;;
46415000;1;16/10/1984;01/01/1900 07:00:00;38;31;25;33,12;33,20;0,755;1,00;;;;;;
46415000;1;12/01/1985;01/01/1900 07:00:00;39;70;42,9;45,24;37,00;0,948;1,22;;;;;;
46415000;1;09/04/1985;01/01/1900 07:00:00;40;58;38,2;40,83;36,60;0,935;1,11;;;;;;
46415000;1;09/07/1985;01/01/1900 07:00:00;41;34;27,8;33,44;33,00;0,831;1,01;;;;;;
46415000;1;17/10/1985;01/01/1900 07:00:00;42;37;27,7;35,25;34,10;0,786;1,03;;;;;;
46415000;1;14/01/1986;01/01/1900 07:00:00;43;86;57,7;51,13;40,00;1,128;1,28;;;;;;
46415000;1;19/04/1986;01/01/1900 07:00:00;45;46;32,7;35,97;39,50;0,909;1,04;;;;;;
46415000;1;15/07/1986;01/01/1900 07:00:00;46;37;28,2;33,48;34,00;0,844;0,98;;;;;;
46415000;1;14/10/1986;01/01/1900 07:00:00;47;100;28,7;58,27;43,00;0,492;1,36;;;;;;
46415000;1;14/01/1987;01/01/1900 07:00:00;48;102;34,7;59,45;44,00;0,583;1,35;;;;;;
46415000;1;12/04/1987;01/01/1900 07:00:00;50;103;36;57,39;44,00;0,635;1,30;;;;;;
46415000;1;22/04/1987;01/01/1900 07:00:00;51;103;36,4;57,39;44,00;0,634;1,30;;;;;;
46415000;1;20/07/1987;01/01/1900 07:00:00;52;88;25;52,82;42,00;0,491;1,26;;;;;;
46415000;1;20/10/1987;01/01/1900 07:00:00;54;78;22,7;48,4;40,00;0,469;1,20;;;;;;
46415000;1;22/02/1988;01/01/1900 07:00:00;55;95;36,5;55,6;42,00;0,657;1,32;;;;;;
46415000;1;27/03/1988;01/01/1900 07:00:00;57;110;48;60,8;45,00;0,789;1,35;;;;;;
46415000;1;18/02/1989;01/01/1900 07:00:00;59;101;43;60,05;45,00;0,716;0,96;;;;;;
46415000;1;23/03/1989;01/01/1900 07:00:00;60;97;39,8;57,89;42,50;0,687;1,36;;;;;;
46415000;1;11/12/1991;01/01/1900 07:00:00;61;96;36,9;58,37;40,00;0,630;1,45;;;;;;
46415000;1;24/05/1992;01/01/1900 07:00:00;63;93;34;55,41;43,40;0,613;1,27;;;;;;
46415000;1;02/10/1992;01/01/1900 07:00:00;65;85;29,9;54,3;42,90;0,551;1,30;;;;;;
46415000;1;24/03/1993;01/01/1900 07:00:00;66;91;32,9;55,9;42,40;0,587;1,32;;;;;;
46415000;1;18/06/1993;01/01/1900 07:00:00;68;87;29,1;53,8;40,80;0,541;1,32;;;;;;
46415000;1;25/08/1993;01/01/1900 07:00:00;69;85;28;55;42,00;0,510;1,31;;;;;;
46415000;1;28/10/1993;01/01/1900 07:00:00;70;83;25,6;51,4;40,10;0,497;1,28;;;;;;
46415000;1;30/03/1994;01/01/1900 07:00:00;71;102;42,1;58,4;41,00;0,722;1,42;;;;;;
46415000;1;31/05/1994;01/01/1900 07:00:00;72;86;29,3;52,1;39,50;0,563;1,32;;;;;;
46415000;1;25/07/1994;01/01/1900 07:00:00;73;83;24,6;49,47;39,00;0,498;1,27;;;;;;
46415000;1;21/10/1994;01/01/1900 07:00:00;74;78;24,9;51;40,00;0,488;1,28;;;;;;
46415000;1;01/05/1995;01/01/1900 07:00:00;75;90;32,3;54,7;38,50;0,590;1,42;;;;;;
46415000;1;27/07/1995;01/01/1900 07:00:00;76;78;24;47,5;38,00;0,506;1,25;;;;;;
46415000;1;20/10/1995;01/01/1900 07:00:00;77;76;22,9;47,6;38,00;0,482;1,25;;;;;;
46415000;1;16/02/1996;01/01/1900 07:00:00;78;84;28,6;51,2;40,00;0,558;1,28;;;;;;
46415000;1;23/04/1996;01/01/1900 07:00:00;79;86;31,9;54,6;39,00;0,583;1,40;;;;;;
46415000;1;30/07/1996;01/01/1900 07:00:00;81;74;22,9;48,3;38,00;0,474;1,27;;;;;;
