Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:46415000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
46415000;1;27/03/2008;01/01/1900 13:00:00;1;27/03/2008;01/01/1900 12:27:00;126;85;32,247;54,49;41,70;0,592;6,31;85;26,50;3,17;15,00;;
46415000;1;13/08/2008;01/01/1900 14:30:00;1;13/08/2008;01/01/1900 13:20:00;127;59;15,234;44,75;396,00;0,340;5,78;59;;1,90;31,00;;
46415000;1;02/12/2008;01/01/1900 12:25:00;2;02/12/2008;01/01/1900 11:19:00;128;83;29;51,9;41,00;0,558;6,94;83;;97,74;23,00;;
46415000;1;06/07/2009;01/01/1900 12:30:00;3;06/07/2009;01/01/1900 11:15:00;129;67;20,113;45,77;40,00;0,439;3,83;67;22,50;;75,90;;
46415000;1;01/02/2010;01/01/1900 14:59:00;5;01/02/2010;01/01/1900 12:35:00;132;72;15,692;45,09;40,50;0,348;1,54;72;27,00;1,468;15,04;;
46415000;1;20/04/2010;01/01/1900 13:10:00;6;20/04/2010;01/01/1900 12:15:00;133;75;22,4;48,6;40,00;0,460;4,661;75;25,70;1,151;12,48;;
46415000;1;14/04/2011;01/01/1900 12:50:00;7;14/04/2011;01/01/1900 10:45:00;134;86;30,5;50,2;40,70;0,608;3,312;86;27,20;2,16;14,65;;
46415000;1;14/10/2011;01/01/1900 12:13:00;8;14/10/2011;01/01/1900 10:45:00;135;64;17,1;44,5;40,00;0,386;2,744;64;25,00;0,862;16,65;;
46415000;1;06/02/2012;01/01/1900 17:21:00;8;06/02/2012;01/01/1900 14:29:00;137;82;33,84;51,22;38,50;0,661;4,70;82;26,00;3,30;13,89;;
46415000;1;13/07/2012;01/01/1900 16:54:00;10;13/07/2012;01/01/1900 14:23:00;138;63;16,911;43,696;38,40;0,387;1,30;63;24,80;0,50;14,40;;
46415000;1;24/10/2012;01/01/1900 13:45:00;11;24/10/2012;01/01/1900 11:27:00;139;63;16,568;41,721;38,50;0,397;3,30;63;28,30;5,00;11,80;;
46415000;1;17/04/2013;01/01/1900 12:37:00;12;17/04/2013;01/01/1900 10:05:00;140;80;28,139;49,895;39,50;0,564;7,50;80;27,10;3,95;10,50;;
46415000;1;02/10/2013;01/01/1900 14:29:00;13;02/10/2013;01/01/1900 13:27:00;141;59;15,098;41,942;39,00;0,360;4,90;59;28,00;4,90;21,01;;
46415000;1;04/12/2013;01/01/1900 10:31:00;14;04/12/2013;01/01/1900 09:25:00;142;76;24,812;48,842;39,50;0,508;0,83;76;26,00;15,30;13,60;;
46415000;1;25/02/2014;01/01/1900 11:39:00;15;25/02/2014;01/01/1900 10:34:00;143;77;24,803;49,535;39,00;0,501;9,40;77;26,30;3,80;;;
46415000;1;24/06/2014;01/01/1900 11:44:00;16;24/06/2014;01/01/1900 10:39:00;145;64;16,078;42,625;39,00;0,377;3,40;64;26,90;0,00;12,30;;
46415000;1;01/08/2015;01/01/1900 11:11:00;18;01/08/2015;01/01/1900 09:40:00;147;62;15,471;41,78;38,00;0,370;2,50;62;;0,00;13,40;;
46415000;1;03/12/2015;01/01/1900 12:15:00;19;03/12/2015;01/01/1900 10:49:00;148;66;15,893;46,325;39,00;0,343;3,30;66;22,20;1,90;13,10;;
46415000;1;16/06/2016;01/01/1900 11:29:00;20;16/06/2016;01/01/1900 09:44:00;151;57;13,753;45,332;39,02;0,303;4,90;57;23,70;4,00;19,80;;
46415000;1;08/09/2016;01/01/1900 11:53:00;21;08/09/2016;01/01/1900 10:20:00;152;55;10,3;40,1;36,50;0,256;3,10;55;25,20;0,00;12,30;;
46415000;1;28/11/2016;01/01/1900 12:09:00;22;28/11/2016;01/01/1900 10:50:00;153;73;18,359;46,605;39,00;0,394;5,40;73;28,00;;18,50;;
46415000;1;09/06/2017;01/01/1900 13:10:00;21;09/06/2017;01/01/1900 12:13:00;155;55;12,783;40,201;35,73;0,318;1,90;55;22,80;;53,90;;
46415000;1;23/11/2017;01/01/1900 11:43:00;22;23/11/2017;01/01/1900 11:15:00;156;76;25,454;48,546;35,35;0,524;5,80;76;;;20,40;;
46415000;1;25/01/2018;01/01/1900 11:18:00;23;25/01/2018;01/01/1900 09:56:00;157;60;15,111;42,516;36,53;0,355;14,20;60;;;;;
46415000;1;23/04/2018;01/01/1900 10:52:00;24;23/04/2018;01/01/1900 10:05:00;159;72;22,989;44,645;33,36;0,515;2,50;72;;;17,04;;
46415000;1;21/08/2018;01/01/1900 11:08:00;25;21/08/2018;01/01/1900 09:48:00;160;54;11,897;38,66;36,41;0,308;3,90;54;;;21,90;;
