EstacaoCodigo,NivelConsistencia,Data,Hora,MediaDiaria,MetodoObtencaoVazoes,Maxima,Minima,Media,DiaMaxima,DiaMinima,MaximaStatus,MinimaStatus,MediaStatus,MediaAnual,MediaAnualStatus,Vazao01,Vazao02,Vazao03,Vazao04,Vazao05,Vazao06,Vazao07,Vazao08,Vazao09,Vazao10,Vazao11,Vazao12,Vazao13,Vazao14,Vazao15,Vazao16,Vazao17,Vazao18,Vazao19,Vazao20,Vazao21,Vazao22,Vazao23,Vazao24,Vazao25,Vazao26,Vazao27,Vazao28,Vazao29,Vazao30,Vazao31,Vazao01Status,Vazao02Status,Vazao03Status,Vazao04Status,Vazao05Status,Vazao06Status,Vazao07Status,Vazao08Status,Vazao09Status,Vazao10Status,Vazao11Status,Vazao12Status,Vazao13Status,Vazao14Status,Vazao15Status,Vazao16Status,Vazao17Status,Vazao18Status,Vazao19Status,Vazao20Status,Vazao21Status,Vazao22Status,Vazao23Status,Vazao24Status,Vazao25Status,Vazao26Status,Vazao27Status,Vazao28Status,Vazao29Status,Vazao30Status,Vazao31Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46415000,1,01/01/2007,,1,1,35,627,22,28,27,414,11,26,0,0,1,,0,29,82,29,82,29,82,29,82,29,82,29,82,29,82,29,82,29,82,29,82,34,13,31,226,31,226,30,519,29,82,29,82,28,445,28,445,27,1,27,1,25,785,25,785,23,249,23,249,23,249,22,28,22,28,22,28,22,28,22,28,22,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
46415000,1,01/02/2007,,1,1,45,242,23,872,32,34,16,2,0,0,1,,0,24,502,23,872,23,872,24,186,26,439,28,786,28,445,28,786,29,82,31,226,31,226,31,226,31,583,31,941,32,663,39,502,35,627,35,627,37,155,37,155,37,93,37,155,37,155,36,77,36,6,35,627,35,627,35,627,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,
46415000,1,01/03/2007,,1,1,34,875,19,11,26,299,1,31,0,0,1,,0,34,875,34,13,32,301,31,226,31,226,30,519,29,473,28,445,27,433,25,14,23,872,22,28,22,28,22,28,22,28,25,785,25,785,27,1,27,1,27,1,27,1,27,768,27,768,25,785,25,785,23,872,23,56,22,28,22,28,20,837,19,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
46415000,1,01/04/2007,,1,1,24,502,18,55,21,822,19,2,0,0,1,,0,19,11,18,55,18,55,18,55,18,55,18,55,18,55,18,55,20,254,20,254,20,837,22,28,22,28,22,28,23,249,23,249,23,249,23,249,24,502,24,502,24,502,24,502,24,502,24,502,23,249,23,249,23,249,23,249,23,249,22,28,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
46415000,1,01/05/2007,,1,1,27,1,16,388,21,563,5,24,0,0,1,,0,22,28,22,28,22,28,22,28,27,1,27,1,27,1,25,14,25,14,24,502,24,502,23,249,23,249,23,249,22,28,22,28,22,28,23,872,23,872,19,678,19,678,17,453,17,453,16,388,16,388,16,388,18,55,18,55,18,55,18,55,18,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
46415000,1,01/06/2007,,1,1,18,55,17,453,17,599,1,6,0,0,1,,0,18,55,18,55,18,55,17,997,17,997,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
46415000,1,01/07/2007,,1,1,17,453,16,388,17,307,1,29,0,0,1,,0,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,453,17,184,16,917,16,917,16,388,16,388,16,388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
46415000,1,01/08/2007,,1,1,16,388,14,353,15,711,1,27,0,0,1,,0,16,388,16,388,16,388,16,388,16,388,16,388,16,388,16,388,16,388,16,388,16,388,16,388,16,388,16,388,16,388,16,388,15,867,15,867,15,867,15,354,15,354,15,354,14,849,14,849,14,849,14,849,14,353,14,353,14,353,14,353,14,353,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
46415000,1,01/09/2007,,1,1,14,353,13,864,14,1,1,10,0,0,1,,0,14,353,14,353,14,353,14,353,14,353,14,353,14,353,14,353,14,353,13,864,13,864,13,864,13,864,13,864,13,864,13,864,13,864,13,864,13,864,13,864,13,864,13,864,13,864,13,864,13,864,13,864,13,864,13,864,13,864,13,864,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
46415000,1,01/10/2007,,1,1,17,453,11,988,13,443,23,18,0,0,1,,0,12,445,12,445,12,445,12,445,12,445,12,445,12,445,12,445,12,445,12,445,12,445,12,445,12,445,12,445,12,445,12,445,12,445,11,988,11,988,11,988,13,383,15,354,17,453,17,453,16,388,16,388,15,354,15,354,14,353,14,353,13,383,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
46415000,1,01/11/2007,,1,1,22,28,11,539,14,942,28,19,0,0,1,,0,13,383,13,383,14,353,14,353,16,388,16,388,14,849,14,849,14,353,14,353,14,353,12,445,12,445,12,445,12,445,12,445,12,445,12,445,11,539,11,539,11,539,11,539,12,445,16,388,18,55,19,678,20,837,22,28,22,28,22,28,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
46415000,1,01/12/2007,,1,1,115,656,25,14,31,35,2,1,3,3,3,,0,25,14,115,656,28,445,28,445,27,1,27,1,27,1,29,82,29,82,29,82,29,82,29,82,28,445,28,445,28,445,29,129,28,445,30,519,30,519,30,519,28,445,28,445,28,445,28,445,27,1,27,1,27,1,27,1,25,785,25,785,25,785,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
46415000,1,01/01/2008,,1,1,23,249,17,453,21,59,11,7,0,0,1,,0,22,28,22,28,20,837,20,254,19,678,19,678,17,453,17,453,19,678,20,837,23,249,23,249,23,249,22,635,22,635,22,28,22,28,21,429,21,429,22,28,22,28,22,28,23,249,23,249,23,249,22,28,22,28,22,28,20,837,21,429,23,249,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
46415000,1,01/02/2008,,1,1,30,519,22,28,24,873,29,18,0,0,1,,0,23,249,24,502,24,502,24,502,24,502,24,502,24,502,25,785,25,785,25,785,25,785,25,785,25,785,24,502,23,872,23,872,22,635,22,28,22,28,22,28,22,28,24,502,25,14,25,462,26,111,26,768,27,1,28,445,29,82,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,
